,9043071	Rick Wilson	Alberta	West	Corporate,40732966	Tamara Dahlen	Ontario	Ontario	Corporate
2734,,78858148	Michelle Lonsdale	Nunavut	Nunavut	Home Office
2735,,19029328	Gary Hwang	Manitoba	Prarie	Home Office
2736,,9576347	Michael Oakman	Quebec	Quebec	Small Business
2737,,37216054	Dean Katz	Yukon	Yukon	Home Office
2738,,68723117	Sally Knutson	British Columbia	West	Small Business
2739,,66316082	Karen Ferguson	Quebec	Quebec	Corporate
2740,,59862529	Keith Herrera	Quebec	Quebec	Corporate
2741,,99168275	Theone Pippenger	Manitoba	Prarie	Corporate
2742,,35573893	Nora Paige	Nova Scotia	Atlantic	Consumer
2743,,31768137	Gene McClure	Ontario	Ontario	Consumer
2744,,12055977	Tracy Zic	Manitoba	Prarie	Consumer
2745,,30238656	Peter Fuller	Saskachewan	Prarie	Corporate
2746,,34181262	Andrew Roberts	Alberta	West	Home Office
2747,,57657373	Laura Armstrong	Ontario	Ontario	Corporate
2748,,29595885	Cari Sayre	Ontario	Ontario	Home Office
2749,,39521873	Sally Knutson	British Columbia	West	Home Office
2750,,11861127	Tracy Collins	Manitoba	Prarie	Consumer
2751,,15499743	Vivian Mathis	Quebec	Quebec	Consumer
2752,,19529123	Steven Roelle	Ontario	Ontario	Small Business
2753,,34136970	Erin Mull	New Brunswick	Atlantic	Small Business
2754,,38671459	Michael Moore	Manitoba	Prarie	Corporate
2755,,41718644	Mick Brown	Yukon	Yukon	Consumer
2756,,18262264	Bradley Nguyen	Quebec	Quebec	Corporate
2757,,19477891	Brendan Dodson	Northwest Territories	Northwest Territories	Corporate
2758,,10250297	Vivian Mathis	Quebec	Quebec	Corporate
2759,,23920877	Kean Takahito	Saskachewan	Prarie	Home Office
2760,,91212283	Brooke Gillingham	Alberta	West	Small Business
2761,,13019151	Jamie Kunitz	Northwest Territories	Northwest Territories	Corporate
2762,,105800553	Brian Stugart	Nova Scotia	Atlantic	Consumer
2763,,28227347	Jay Kimmel	Ontario	Ontario	Small Business
2764,,62872976	Peter Buhler	Yukon	Yukon	Consumer
2765,,24699845	Philip Brown	Ontario	Ontario	Home Office
2766,,13117414	Julia West	Nunavut	Nunavut	Corporate
2767,,17497455	Jamie Frazer	Manitoba	Prarie	Small Business
2768,,53726389	Joy Smith	Manitoba	Prarie	Corporate
2769,,89379992	Lauren Leatherbury	Alberta	West	Home Office
2770,,100787002	Liz Willingham	Quebec	Quebec	Corporate
2771,,27000509	Mark Van Huff	Saskachewan	Prarie	Home Office
2772,,55591849	Sanjit Jacobs	British Columbia	West	Consumer
2773,,73634331	Philip Brown	Prince Edward Island	Atlantic	Home Office
2774,,97666712	Giulietta Weimer	Nova Scotia	Atlantic	Corporate
2775,,15610164	Ricardo Emerson	British Columbia	West	Corporate
2776,,29012034	Theresa Swint	Manitoba	Prarie	Consumer
2777,,23188468	Edward Hooks	Northwest Territories	Northwest Territories	Consumer
2778,,19652649	Trudy Schmidt	British Columbia	West	Small Business
2779,,85623474	Michael Oakman	Nova Scotia	Atlantic	Small Business
2780,,98456564	George Zrebassa	Nova Scotia	Atlantic	Home Office
2781,,73091440	Bill Shonely	Yukon	Yukon	Small Business
2782,,13888154	Ken Heidel	British Columbia	West	Corporate
2783,,103383612	Maria Bertelson	Manitoba	Prarie	Home Office
2784,,31708946	Suzanne McNair	Saskachewan	Prarie	Corporate
2785,,13258267	Maureen Gastineau	Newfoundland	Atlantic	Consumer
2786,,99519941	Rob Williams	Yukon	Yukon	Home Office
2787,,38922248	Brad Thomas	British Columbia	West	Home Office
2788,,14741565	Janet Martin	Ontario	Ontario	Corporate
2789,,86724665	Matt Hagelstein	Ontario	Ontario	Home Office
2790,,74751086	Elizabeth Moffitt	British Columbia	West	Consumer
2791,,70121056	Jason Klamczynski	Quebec	Quebec	Home Office
2792,,68005331	Eric Barreto	British Columbia	West	Consumer
2793,,57458136	John Dryer	Saskachewan	Prarie	Corporate
2794,,2907098	Roland Murray	Alberta	West	Home Office
2795,,90398325	Alan Schoenberger	Yukon	Yukon	Corporate
2796,,74374530	Katherine Hughes	New Brunswick	Atlantic	Consumer
2797,,8807770	Frank Merwin	Alberta	West	Corporate
2798,,45209405	Cynthia Voltz	Yukon	Yukon	Corporate
2799,,38342784	Ralph Arnett	Northwest Territories	Northwest Territories	Consumer
2800,,76068895	Denise Leinenbach	Quebec	Quebec	Home Office
2801,,22856565	Rick Duston	Newfoundland	Atlantic	Corporate
2802,,39765174	Robert Waldorf	Ontario	Ontario	Home Office
2803,,24286812	Annie Thurman	Ontario	Ontario	Home Office
2804,,27185389	Karl Brown	Ontario	Ontario	Corporate
2805,,52287358	Muhammed Lee	Yukon	Yukon	Corporate
2806,,45783303	Michael Stewart	British Columbia	West	Small Business
2807,,99605711	Arthur Gainer	Manitoba	Prarie	Consumer
2808,,39007820	Emily Phan	New Brunswick	Atlantic	Consumer
2809,,26871525	Giulietta Dortch	Nova Scotia	Atlantic	Consumer
2810,,57411052	Justin Deggeller	New Brunswick	Atlantic	Corporate
2811,,104853129	Janet Molinari	Ontario	Ontario	Corporate
2812,,92552035	David Philippe	Ontario	Ontario	Consumer
2813,,10128489	Harold Engle	Prince Edward Island	Atlantic	Consumer
2814,,59074343	Philisse Overcash	Nova Scotia	Atlantic	Small Business
2815,,38978375	Adrian Hane	Nunavut	Nunavut	Corporate
2816,,19762901	Hallie Redmond	Ontario	Ontario	Small Business
2817,,82716098	Ken Dana	Alberta	West	Small Business
2818,,43389672	Sarah Brown	Saskachewan	Prarie	Consumer
2819,,15239298	Sean Wendt	British Columbia	West	Corporate
2820,,28822817	Nicole Hansen	Northwest Territories	Northwest Territories	Corporate
2821,,12964455	Tamara Willingham	British Columbia	West	Home Office
2822,,35540504	Khloe Miller	British Columbia	West	Home Office
2823,,100500169	Joe Kamberova	Ontario	Ontario	Small Business
2824,,56320053	Kristen Hastings	Ontario	Ontario	Small Business
2825,,97099813	Sally Matthias	Nova Scotia	Atlantic	Corporate
2826,,15643761	Suzanne McNair	Saskachewan	Prarie	Small Business
2827,,94206076	Anthony Witt	Ontario	Ontario	Corporate
2828,,103104706	Sonia Cooley	Alberta	West	Corporate
2829,,45612560	Christopher Conant	Alberta	West	Consumer
2830,,54177895	Greg Guthrie	Manitoba	Prarie	Small Business
2831,,56692640	Tonja Turnell	Alberta	West	Consumer
2832,,89108177	Brenda Bowman	Quebec	Quebec	Home Office
2833,,82953034	Benjamin Venier	Yukon	Yukon	Small Business
2834,,89722082	Speros Goranitis	Yukon	Yukon	Corporate
2835,,7834765	Lisa DeCherney	Ontario	Ontario	Corporate
2836,,54085164	Rick Bensley	Manitoba	Prarie	Consumer
2837,,35074595	Harold Engle	Manitoba	Prarie	Home Office
2838,,15368315	David Kendrick	Yukon	Yukon	Home Office
2839,,77951322	Debra Catini	Nova Scotia	Atlantic	Small Business
2840,,51561429	Muhammed Yedwab	Newfoundland	Atlantic	Consumer
2841,,94228765	Lycoris Saunders	Ontario	Ontario	Corporate
2842,,83042763	Dean Katz	British Columbia	West	Home Office
2843,,63444550	Darren Budd	Yukon	Yukon	Home Office
2844,,70909580	Stefanie Holloman	Manitoba	Prarie	Small Business
2845,,73763693	Deanra Eno	Quebec	Quebec	Corporate
2846,,95436894	Peter Fuller	Saskachewan	Prarie	Consumer
2847,,67831942	Astrea Jones	Newfoundland	Atlantic	Corporate
2848,,55459419	Michelle Ellison	Ontario	Ontario	Consumer
2849,,5091209	Christina Anderson	Saskachewan	Prarie	Corporate
2850,,103492523	Mary Zewe	Manitoba	Prarie	Corporate
2851,,24239354	Dan Campbell	British Columbia	West	Small Business
2852,,39250329	Grant Donatelli	Ontario	Ontario	Consumer
2853,,82163884	Tanja Norvell	Nova Scotia	Atlantic	Consumer
2854,,82151975	Ivan Liston	Nova Scotia	Atlantic	Consumer
2855,,47933319	Bobby Trafton	Newfoundland	Atlantic	Small Business
2856,,55462305	Ricardo Block	Yukon	Yukon	Corporate
2857,,33584987	John Castell	Nova Scotia	Atlantic	Consumer
2858,,103116846	Grant Carroll	Northwest Territories	Northwest Territories	Corporate
2859,,40253199	Mick Brown	Alberta	West	Consumer
2860,,74001204	Roy Skaria	Northwest Territories	Northwest Territories	Corporate
2861,,70860081	Harold Pawlan	Alberta	West	Small Business
2862,,91774159	Astrea Jones	Yukon	Yukon	Corporate
2863,,55010642	Dave Kipp	Yukon	Yukon	Corporate
2864,,97049232	Vivek Sundaresam	Quebec	Quebec	Home Office
2865,,46851405	Corey Roper	Newfoundland	Atlantic	Small Business
2866,,57583255	Matt Connell	Ontario	Ontario	Corporate
2867,,40872584	Elizabeth Moffitt	Quebec	Quebec	Consumer
2868,,90958961	Joy Smith	British Columbia	West	Consumer
2869,,33357299	Jack Lebron	British Columbia	West	Corporate
2870,,65592088	Mick Crebagga	Manitoba	Prarie	Home Office
2871,,1720138	Juliana Krohn	British Columbia	West	Small Business
2872,,3724839	Brian Stugart	Yukon	Yukon	Corporate
2873,,31043562	Barry Pond	Yukon	Yukon	Consumer
2874,,60814472	Karen Carlisle	British Columbia	West	Corporate
2875,,54281706	Juliana Krohn	Yukon	Yukon	Corporate
2876,,71445870	Tony Chapman	British Columbia	West	Consumer
2877,,33663686	Cyra Reiten	Yukon	Yukon	Consumer
2878,,10756558	Frank Carlisle	Ontario	Ontario	Small Business
2879,,51305287	Charlotte Melton	Northwest Territories	Northwest Territories	Home Office
2880,,103996019	Lindsay Castell	Alberta	West	Small Business
2881,,83738891	Frank Hawley	Ontario	Ontario	Home Office
2882,,28718928	Ken Lonsdale	New Brunswick	Atlantic	Consumer
2883,,70664347	Shui Tom	Alberta	West	Home Office
2884,,18436824	Nora Paige	Newfoundland	Atlantic	Small Business
2885,,83808705	Adam Shillingsburg	Alberta	West	Corporate
2886,,56602296	Harry Marie	Manitoba	Prarie	Consumer
2887,,61248797	Cynthia Arntzen	Saskachewan	Prarie	Home Office
2888,,107541916	Ivan Gibson	Ontario	Ontario	Corporate
2889,,30535909	Filia McAdams	Prince Edward Island	Atlantic	Small Business
2890,,71841102	Philisse Overcash	British Columbia	West	Small Business
2891,,73918793	Becky Martin	Ontario	Ontario	Home Office
2892,,9193847	Lycoris Saunders	Ontario	Ontario	Home Office
2893,,67300487	Giulietta Dortch	Yukon	Yukon	Small Business
2894,,11405224	Dean Percer	New Brunswick	Atlantic	Consumer
2895,,37204966	Patrick Bzostek	Ontario	Ontario	Consumer
2896,,12756390	Dario Medina	Yukon	Yukon	Small Business
2897,,91977284	Roy Skaria	Manitoba	Prarie	Corporate
2898,,55460332	Julie Prescott	Ontario	Ontario	Home Office
2899,,59040054	Giulietta Dortch	Quebec	Quebec	Consumer
2900,,16475482	Brian Stugart	Yukon	Yukon	Consumer
2901,,78357289	Carl Ludwig	Nunavut	Nunavut	Corporate
2902,,24845242	Paul Knutson	Nova Scotia	Atlantic	Corporate
2903,,29172730	Susan Vittorini	Northwest Territories	Northwest Territories	Home Office
2904,,49397035	Rick Hansen	Saskachewan	Prarie	Home Office
2905,,28399266	Quincy Jones	Yukon	Yukon	Corporate
2906,,16921475	Robert Barroso	Quebec	Quebec	Small Business
2907,,54537998	Joe Elijah	Manitoba	Prarie	Home Office
2908,,93460140	Maureen Gastineau	British Columbia	West	Consumer
2909,,42985416	Tom Prescott	Alberta	West	Small Business
2910,,30809672	Maribeth Schnelling	Manitoba	Prarie	Corporate
2911,,34167695	Harold Dahlen	Nova Scotia	Atlantic	Corporate
2912,,38554560	Nicole Hansen	Nunavut	Nunavut	Small Business
2913,,57437214	Barry Weirich	Yukon	Yukon	Corporate
2914,,69504145	Katrina Willman	New Brunswick	Atlantic	Consumer
2915,,87126998	Bradley Drucker	Yukon	Yukon	Small Business
2916,,60748072	Daniel Lacy	Alberta	West	Small Business
2917,,78116987	Eugene Barchas	Northwest Territories	Northwest Territories	Corporate
2918,,43761129	Jim Sink	Prince Edward Island	Atlantic	Corporate
2919,,87531847	Paul Stevenson	Saskachewan	Prarie	Corporate
2920,,61997425	Katherine Nockton	Ontario	Ontario	Home Office
2921,,32734260	Ivan Liston	Yukon	Yukon	Consumer
2922,,89810498	Katherine Nockton	Quebec	Quebec	Home Office
2923,,58914971	Katrina Willman	Quebec	Quebec	Consumer
2924,,26814362	Erica Bern	Prince Edward Island	Atlantic	Small Business
2925,,8444931	Denise Leinenbach	Nova Scotia	Atlantic	Corporate
2926,,80406839	Dan Campbell	British Columbia	West	Corporate
2927,,99034135	Eleni McCrary	Nova Scotia	Atlantic	Home Office
2928,,50446311	Bill Overfelt	Ontario	Ontario	Corporate
2929,,65383349	Christy Brittain	Nova Scotia	Atlantic	Consumer
2930,,64317679	Hallie Redmond	Ontario	Ontario	Home Office
2931,,100464058	Jennifer Patt	Nova Scotia	Atlantic	Home Office
2932,,61047485	Grant Carroll	Nunavut	Nunavut	Small Business
2933,,6669395	Eugene Moren	Saskachewan	Prarie	Home Office
2934,,70969686	Jennifer Braxton	Manitoba	Prarie	Small Business
2935,,95501313	Berenike Kampe	British Columbia	West	Corporate
2936,,37723659	David Kendrick	Quebec	Quebec	Home Office
2937,,38157437	Mary O'Rourke	Manitoba	Prarie	Home Office
2938,,71256328	Deanra Eno	Ontario	Ontario	Corporate
2939,,18255550	Debra Catini	Quebec	Quebec	Small Business
2940,,92823303	Chris Cortes	Nova Scotia	Atlantic	Consumer
2941,,27064579	Steven Roelle	Alberta	West	Small Business
2942,,44637256	Maria Bertelson	Ontario	Ontario	Corporate
2943,,95937020	Thomas Thornton	British Columbia	West	Consumer
2944,,30755819	Paul Van Hugh	Yukon	Yukon	Corporate
2945,,64666110	Eric Hoffmann	Manitoba	Prarie	Small Business
2946,,34481830	Andrew Gjertsen	Nunavut	Nunavut	Consumer
2947,,25961578	Jack Garza	Manitoba	Prarie	Corporate
2948,,51916993	Eleni McCrary	Newfoundland	Atlantic	Corporate
2949,,72796983	Yana Sorensen	Yukon	Yukon	Corporate
2950,,40499981	Bobby Elias	Nova Scotia	Atlantic	Small Business
2951,,40880095	Shirley Jackson	Nova Scotia	Atlantic	Corporate
2952,,72908273	Khloe Miller	British Columbia	West	Consumer
2953,,84599405	Joel Jenkins	Ontario	Ontario	Corporate
2954,,26729175	Bruce Stewart	New Brunswick	Atlantic	Corporate
2955,,35250192	Deborah Brumfield	Manitoba	Prarie	Small Business
2956,,12027757	Brad Thomas	British Columbia	West	Corporate
2957,,107565533	Liz MacKendrick	New Brunswick	Atlantic	Corporate
2958,,25793349	Lena Cacioppo	Quebec	Quebec	Home Office
2959,,59398695	Dave Poirier	Quebec	Quebec	Small Business
2960,,9175306	Mick Hernandez	Ontario	Ontario	Home Office
2961,,38059837	Julia West	Northwest Territories	Northwest Territories	Home Office
2962,,31353881	Jason Fortune	Ontario	Ontario	Corporate
2963,,42995013	Anna Haberlin	Ontario	Ontario	Corporate
2964,,102946420	Michelle Huthwaite	Ontario	Ontario	Home Office
2965,,29648423	Christy Brittain	Newfoundland	Atlantic	Consumer
2966,,91220663	Aaron Hawkins	Quebec	Quebec	Home Office
2967,,31645785	Clytie Kelty	Ontario	Ontario	Small Business
2968,,63405025	Ed Braxton	Yukon	Yukon	Consumer
2969,,14565933	Matt Abelman	British Columbia	West	Small Business
2970,,43339092	Christine Abelman	New Brunswick	Atlantic	Corporate
2971,,19847319	Bart Folk	Yukon	Yukon	Corporate
2972,,57830169	Shirley Jackson	Quebec	Quebec	Corporate
2973,,23436088	Brendan Sweed	New Brunswick	Atlantic	Consumer
2974,,69372586	Darren Budd	Yukon	Yukon	Consumer
2975,,47232636	Logan Currie	Manitoba	Prarie	Small Business
2976,,81751203	Bobby Trafton	Nova Scotia	Atlantic	Corporate
2977,,33115230	Nora Price	Quebec	Quebec	Small Business
2978,,69136105	Hallie Redmond	Manitoba	Prarie	Small Business
2979,,95177343	John Castell	British Columbia	West	Small Business
2980,,85212736	Tim Taslimi	Yukon	Yukon	Corporate
2981,,28030760	Michael Granlund	Nova Scotia	Atlantic	Corporate
2982,,57117060	Sarah Jordon	British Columbia	West	Consumer
2983,,86434424	Christy Brittain	Yukon	Yukon	Consumer
2984,,12193437	Corey Lock	Quebec	Quebec	Home Office
2985,,50645676	Daniel Lacy	British Columbia	West	Small Business
2986,,35731448	Roland Murray	Manitoba	Prarie	Home Office
2987,,100582712	Scot Wooten	Manitoba	Prarie	Corporate
2988,,91967987	Barry Pond	British Columbia	West	Consumer
2989,,47505924	Sara Luxemburg	Yukon	Yukon	Small Business
2990,,92238400	Lisa DeCherney	Ontario	Ontario	Consumer
2991,,64312175	Michelle Ellison	Ontario	Ontario	Small Business
2992,,88337390	Andrew Roberts	Ontario	Ontario	Small Business
2993,,28062620	Michael Granlund	Manitoba	Prarie	Home Office
2994,,85700248	Theone Pippenger	British Columbia	West	Corporate
2995,,66129254	Carlos Daly	Nunavut	Nunavut	Home Office
2996,,14033736	Alan Schoenberger	British Columbia	West	Corporate
2997,,11409165	Jim Karlsson	British Columbia	West	Small Business
2998,,90522445	Evan Henry	Quebec	Quebec	Corporate
2999,,101448325	Jennifer Patt	Newfoundland	Atlantic	Home Office
3000,,98760164	Nathan Cano	British Columbia	West	Consumer
3001,,79708464	Corey Catlett	British Columbia	West	Home Office
3002,,94752834	Karl Brown	Newfoundland	Atlantic	Home Office
3003,,22998376	Richard Bierner	Saskachewan	Prarie	Small Business
3004,,29343671	Emily Grady	British Columbia	West	Home Office
3005,,34037705	Pauline Johnson	New Brunswick	Atlantic	Corporate
3006,,54637428	Cynthia Voltz	Newfoundland	Atlantic	Corporate
3007,,80476389	Muhammed MacIntyre	Nunavut	Nunavut	Small Business
3008,,61800710	Ken Brennan	Ontario	Ontario	Consumer
3009,,87094459	David Kendrick	Nova Scotia	Atlantic	Home Office
3010,,69737688	Darren Budd	Quebec	Quebec	Corporate
3011,,20864775	Cindy Stewart	Yukon	Yukon	Consumer
3012,,35264587	Craig Yedwab	Newfoundland	Atlantic	Corporate
3013,,17118153	Vivek Grady	Ontario	Ontario	Corporate
3014,,107508523	Jill Fjeld	Yukon	Yukon	Home Office
3015,,41191887	Alyssa Crouse	Alberta	West	Corporate
3016,,43820994	Doug O'Connell	British Columbia	West	Small Business
3017,,66098717	Anthony Johnson	Northwest Territories	Northwest Territories	Small Business
3018,,45730635	Frank Price	Nunavut	Nunavut	Corporate
3019,,97685640	Sara Luxemburg	Yukon	Yukon	Corporate
3020,,109724217	Bradley Drucker	Quebec	Quebec	Small Business
3021,,34725205	Beth Thompson	Prince Edward Island	Atlantic	Corporate
3022,,25162682	Sam Zeldin	Ontario	Ontario	Small Business
3023,,20434205	Raymond Fair	Ontario	Ontario	Small Business
3024,,55544129	Penelope Sewall	Alberta	West	Home Office
3025,,97606910	Daniel Lacy	Quebec	Quebec	Small Business
3026,,74561513	Georgia Rosenberg	Alberta	West	Consumer
3027,,31234599	Brendan Dodson	Prince Edward Island	Atlantic	Corporate
3028,,94607246	Pete Kriz	British Columbia	West	Corporate
3029,,100045626	Tom Ashbrook	Yukon	Yukon	Home Office
3030,,9854609	Julia West	Northwest Territories	Northwest Territories	Corporate
3031,,15836964	Jennifer Ferguson	Quebec	Quebec	Corporate
3032,,24482846	Quincy Jones	New Brunswick	Atlantic	Corporate
3033,,40929835	Eugene Moren	British Columbia	West	Home Office
3034,,62950076	Michael Nguyen	Ontario	Ontario	Small Business
3035,,97800678	Ashley Jarboe	Saskachewan	Prarie	Small Business
3036,,58302349	Pete Takahito	Quebec	Quebec	Corporate
3037,,50169727	Tracy Hopkins	Saskachewan	Prarie	Small Business
3038,,80914914	Anthony Johnson	British Columbia	West	Small Business
3039,,4510648	Anne McFarland	British Columbia	West	Consumer
3040,,107249296	Helen Wasserman	Quebec	Quebec	Corporate
3041,,17356345	Tom Prescott	Yukon	Yukon	Small Business
3042,,40876754	Julia West	Prince Edward Island	Atlantic	Consumer
3043,,88719131	Brian Moss	Saskachewan	Prarie	Corporate
3044,,90358264	Michael Kennedy	Ontario	Ontario	Corporate
3045,,68444699	Jim Karlsson	Ontario	Ontario	Small Business
3046,,34402979	Denise Monton	Manitoba	Prarie	Home Office
3047,,14331565	Doug O'Connell	Ontario	Ontario	Small Business
3048,,97244956	Doug Bickford	Prince Edward Island	Atlantic	Corporate
3049,,32444392	Helen Andreada	Yukon	Yukon	Corporate
3050,,22237665	Bill Shonely	Nova Scotia	Atlantic	Small Business
3051,,52914743	Cari Schnelling	Northwest Territories	Northwest Territories	Small Business
3052,,29962626	Chris Cortes	British Columbia	West	Consumer
3053,,13012156	Ken Heidel	Saskachewan	Prarie	Corporate
3054,,8881763	Noah Childs	Manitoba	Prarie	Home Office
3055,,39112993	Denny Ordway	British Columbia	West	Small Business
3056,,55332006	Katherine Murray	Ontario	Ontario	Home Office
3057,,64709810	Sanjit Engle	Manitoba	Prarie	Home Office
3058,,30320771	Janet Lee	Saskachewan	Prarie	Consumer
3059,,27896929	Sylvia Foulston	Quebec	Quebec	Corporate
3060,,56693633	Justin Hirsh	British Columbia	West	Consumer
3061,,19473719	Emily Burns	Nova Scotia	Atlantic	Home Office
3062,,32369615	Larry Blacks	Saskachewan	Prarie	Consumer
3063,,48678937	Stewart Carmichael	British Columbia	West	Corporate
3064,,76435482	David Flashing	Nova Scotia	Atlantic	Home Office
3065,,101407390	Paul Lucas	Quebec	Quebec	Corporate
3066,,8933378	Sylvia Foulston	Prince Edward Island	Atlantic	Corporate
3067,,30770816	John Stevenson	Quebec	Quebec	Small Business
3068,,8564207	Dan Campbell	Ontario	Ontario	Small Business
3069,,98224666	Aimee Bixby	New Brunswick	Atlantic	Home Office
3070,,12539879	Sarah Jordon	Manitoba	Prarie	Consumer
3071,,16724484	David Bremer	British Columbia	West	Corporate
3072,,10582134	Tracy Collins	Manitoba	Prarie	Corporate
3073,,87509764	Dorothy Badders	Prince Edward Island	Atlantic	Home Office
3074,,85163678	Rob Haberlin	Ontario	Ontario	Consumer
3075,,57930738	Giulietta Weimer	British Columbia	West	Home Office
3076,,41939918	Alejandro Savely	Ontario	Ontario	Corporate
3077,,48663618	Evan Bailliet	Manitoba	Prarie	Corporate
3078,,31711779	Pierre Wener	Nova Scotia	Atlantic	Home Office
3079,,21424768	Charles Sheldon	Manitoba	Prarie	Corporate
3080,,12263605	Gene McClure	Manitoba	Prarie	Home Office
3081,,82519801	Natalie Webber	Nova Scotia	Atlantic	Corporate
3082,,10166893	Benjamin Farhat	Yukon	Yukon	Home Office
3083,,77916927	Bill Eplett	Ontario	Ontario	Corporate
3084,,60748220	Sean Braxton	Manitoba	Prarie	Small Business
3085,,40300751	Dorris Love	Quebec	Quebec	Corporate
3086,,33158318	Tony Chapman	Ontario	Ontario	Consumer
3087,,74145267	Michelle Lonsdale	Northwest Territories	Northwest Territories	Corporate
3088,,19646967	Andy Reiter	Saskachewan	Prarie	Corporate
3089,,39335289	Dorothy Badders	Northwest Territories	Northwest Territories	Home Office
3090,,21255162	Greg Hansen	Ontario	Ontario	Home Office
3091,,89960282	Karen Ferguson	Quebec	Quebec	Home Office
3092,,76333349	Theresa Swint	Manitoba	Prarie	Small Business
3093,,38640449	Chuck Magee	Saskachewan	Prarie	Corporate
3094,,48835684	Bobby Elias	Quebec	Quebec	Small Business
3095,,66362746	Anthony O'Donnell	British Columbia	West	Corporate
3096,,107356343	Muhammed Lee	British Columbia	West	Consumer
3097,,21613461	Julie Kriz	Quebec	Quebec	Corporate
3098,,90155791	Tony Chapman	Nova Scotia	Atlantic	Consumer
3099,,29599945	Hunter Lopez	Nova Scotia	Atlantic	Consumer
3100,,96589436	Shaun Weien	Nova Scotia	Atlantic	Home Office
3101,,13856521	Noel Staavos	British Columbia	West	Home Office
3102,,56607056	Tracy Hopkins	Yukon	Yukon	Small Business
3103,,16438527	Rob Beeghly	Ontario	Ontario	Consumer
3104,,64891803	Amy Cox	Nova Scotia	Atlantic	Small Business
3105,,98104164	Rick Wilson	Alberta	West	Consumer
3106,,24754584	Alyssa Tate	British Columbia	West	Small Business
3107,,47754470	Aaron Hawkins	Ontario	Ontario	Home Office
3108,,71683979	Steve Carroll	British Columbia	West	Consumer
3109,,8347794	Lisa Ryan	Alberta	West	Home Office
3110,,10056208	Khloe Miller	Nova Scotia	Atlantic	Consumer
3111,,43506335	Sung Chung	Alberta	West	Home Office
3112,,65989311	Jack Garza	Nunavut	Nunavut	Corporate
3113,,50274012	Eric Barreto	Nova Scotia	Atlantic	Small Business
3114,,36409723	Troy Staebel	Nova Scotia	Atlantic	Small Business
3115,,59879672	Jim Radford	Nunavut	Nunavut	Corporate
3116,,34211408	Joy Smith	Prince Edward Island	Atlantic	Consumer
3117,,54861644	Yana Sorensen	Newfoundland	Atlantic	Corporate
3118,,40923657	Bruce Stewart	Ontario	Ontario	Corporate
3119,,87328286	Angele Hood	British Columbia	West	Consumer
3120,,82724306	Muhammed Lee	Nova Scotia	Atlantic	Consumer
3121,,93780882	Ionia McGrath	Saskachewan	Prarie	Small Business
3122,,15814455	Toby Grace	Saskachewan	Prarie	Home Office
3123,,53272704	Mike Kennedy	Manitoba	Prarie	Small Business
3124,,51326221	Marc Crier	Manitoba	Prarie	Consumer
3125,,64934778	Paul Gonzalez	Prince Edward Island	Atlantic	Corporate
3126,,67374454	Logan Haushalter	Prince Edward Island	Atlantic	Corporate
3127,,5417421	Doug Bickford	Northwest Territories	Northwest Territories	Small Business
3128,,33483588	Ken Lonsdale	Manitoba	Prarie	Consumer
3129,,47416847	Frank Gastineau	Saskachewan	Prarie	Small Business
3130,,100390992	Dianna Wilson	Quebec	Quebec	Small Business
3131,,7424686	Ionia McGrath	Saskachewan	Prarie	Home Office
3132,,24718220	Steven Ward	Manitoba	Prarie	Consumer
3133,,39591257	Craig Carroll	Alberta	West	Small Business
3134,,15408772	Stefania Perrino	Nova Scotia	Atlantic	Corporate
3135,,19237970	Carlos Soltero	Northwest Territories	Northwest Territories	Consumer
3136,,60200887	Joy Smith	Prince Edward Island	Atlantic	Corporate
3137,,88445957	Annie Thurman	Ontario	Ontario	Consumer
3138,,23852786	Noah Childs	Prince Edward Island	Atlantic	Home Office
3139,,81882214	Eugene Barchas	Northwest Territories	Northwest Territories	Home Office
3140,,71252044	Nathan Mautz	Manitoba	Prarie	Home Office
3141,,96643883	Barry Franz	Newfoundland	Atlantic	Corporate
3142,,8905627	Muhammed Yedwab	Nova Scotia	Atlantic	Consumer
3143,,10565428	Erica Hackney	Alberta	West	Small Business
3144,,61582442	Liz Thompson	Ontario	Ontario	Corporate
3145,,65429002	David Kendrick	British Columbia	West	Home Office
3146,,97894366	Bart Pistole	Quebec	Quebec	Home Office
3147,,69566389	Daniel Raglin	Ontario	Ontario	Corporate
3148,,73163398	Eric Barreto	Newfoundland	Atlantic	Consumer
3149,,67879495	Julia Barnett	Quebec	Quebec	Corporate
3150,,60048038	George Zrebassa	Nova Scotia	Atlantic	Small Business
3151,,77096796	Carlos Meador	Quebec	Quebec	Consumer
3152,,67946772	Jack O'Briant	Nova Scotia	Atlantic	Consumer
3153,,71428407	Benjamin Venier	Quebec	Quebec	Small Business
3154,,30509837	Jennifer Ferguson	Quebec	Quebec	Home Office
3155,,10820132	Dave Brooks	Manitoba	Prarie	Corporate
3156,,81245085	Ann Blume	Nova Scotia	Atlantic	Corporate
3157,,51963363	Michelle Lonsdale	Prince Edward Island	Atlantic	Corporate
3158,,89851873	John Murray	British Columbia	West	Small Business
3159,,15639214	Katrina Bavinger	Ontario	Ontario	Consumer
3160,,52636682	Troy Staebel	Quebec	Quebec	Small Business
3161,,44475905	Deborah Brumfield	Quebec	Quebec	Small Business
3162,,50882136	Barry French	Northwest Territories	Northwest Territories	Consumer
3163,,77821610	Bill Eplett	British Columbia	West	Corporate
3164,,47611253	Astrea Jones	Ontario	Ontario	Corporate
